name,address,telephone,open_time,logo_url
Deli's Cafe,Shopping mall LES QUATRES TEMPS level 1 zone Kiwi,Tel: 01 49 67 63 11,10H-20H from Monday to Saturday & 11H-19H Sunday,http://www.les4temps.com/W/cms_sites/SITE_2512/images2512/Boutiquelogo/web-logo_1373029549412_DELISCAFE_WEBLOGO.png
Waffle Factory,Shopping mall LES QUATRES TEMPS level 1 zone Kiwi,Tel: 01 49 67 66 56,10H-20H from Monday to Saturday & 11H-19H30 Sunday,http://www.eluna.com/Logos/WaffleFactory.gif
PAUL,Shopping mall LES QUATRES TEMPS level 1 zone Mandarine,Tel: 01 47 73 51 68,7H30-20H30 every day,http://www.metrocookingdc.com/wp-content/uploads/2013/08/Square-PAUL-Logo.jpg
MC Donald's,Shopping mall LES QUATRES TEMPS level 1 zone Mandarine,Tel: 01 47 73 08 53,7H30-23H every day,http://cdn.ou-dejeuner.com/bibliotheque/franchise/380/mc-donald-s_logo.jpg
Pomme de Pain,Shopping mall LES QUATRES TEMPS level 0 zone Cassis,Tel: 01 47 74 93 21,7H30-21H from Monday to Saturday & 7H30-19H30 Sunday,http://closduchene.fr/upload/1342441324.jpg
Lals Cafe,Shopping mall LES QUATRES TEMPS level 1 zone Mandarine,Tel: 01 40 90 74 82,10H-22H from Monday to Friday & 11H-22H from Saturday to Sunday,http://www.les4temps.com/W/cms_sites/SITE_2512/images2512/Boutiquelogo/web-logo_1373030517722_LALSCAFE_WEBLOGO.png
Cojean,Shopping mall CNIT level Parvis,Tel: 01 40 81 08 13,8H-19H from Monday to Friday & 10H30-19H Saturday,http://upload.wikimedia.org/wikipedia/commons/f/fe/Logo-Cojean.jpg
Roy,Shopping mall LES QUATRES TEMPS level 1 zone Kiwi,Tel: 01 40 90 75 69,7H30-20H from Monday to Saturday,http://images.2spaghi.it/google/roy-restaurant-20131023-122307.jpg
Bretzel Love,Shopping mall LES QUATRES TEMPS level 2 zone Mandarine,Tel: 01 47 78 72 95,10H-20H from Monday to Saturday & 10H-19H Sunday,http://4.bp.blogspot.com/-zqDl-Bjv17Q/USUgk3AXy3I/AAAAAAAAAFQ/hvhjt__2hlU/s320/LOGO+BL.png
La Croissanterie,Shopping mall LES QUATRES TEMPS level 1 zone Kiwi,Tel: 01 47 73 51 24,8H30-20H from Monday to Friday & 9H-20H Saturday & 10H-19H Sunday,https://jobetudiant.net/img/fiches/la-croissanterie.jpg
Pret a Manger,Shopping mall LES QUATRES TEMPS level 3 zone Mandarine,Tel: 01 40 90 73 41,8H-23H from Monday to Saturday & 10H-23H Sunday,http://www.mesadressesvertes.com/uploads/gen/pret-a-mager-restaurant-paris-logo_fs.jpeg
Veng Hour,Shopping mall LES QUATRES TEMPS level 0 zone Cassis,Tel: 01 47 74 57 98,10H-20H from Monday to Saturday & 11H-19H30 Sunday,http://www.espacestquentin.com/var/hammerson/storage/images/media/espace-st-quentin/images/magasin/mezzo/veng-hour/226412-3-fre-FR/Veng-Hour_logo_shop.jpg
SUSHISHOP,Shopping mall LES QUATRES TEMPS level 2 zone Kiwi,Tel: 09 64 19 05 08,11H-20H from Monday to Saturday & 11H-19H Sunday,https://jobetudiant.net/img/fiches/sushi-shop.jpg
Matsuri,Shopping mall CNIT level -1,Tel:01 49 03 50 28,12H-15H from Monday to Friday,http://www.franchise-magazine.com/img/logos/grand/3545.jpg
K10,Shopping mall LES QUATRES TEMPS level 3 zone Mandarine,Tel: 01 47 44 92 52,10H-20H from Monday to Saturday & 11H-19H Sunday,http://www.k10.com/wp/wp-content/uploads/2014/09/K10-logo-200-165_main.png
CHING'N LING,Shopping mall LES QUATRES TEMPS level 3 zone Mandarine,Tel: 01 47 78 71 48,11H-23H every day,http://www.restosladefense.fr/logo/ching.jpg
SUSHI Auchan,Shopping mall LES QUATRES TEMPS level 1 zone Mandarine,Tel: 01 40 90 79 34,11H30-15H30 & 16H30-20H from Monday to Saturday,http://www.les4temps.com/W/cms_sites/SITE_2512/images2512/Boutiquelogo/web-logo_1373031281219_OSUSHIAUCHAN_WEBLOGO.png
